A0,A1,A2,A3,A4,A5,A6,Pass/Fail
3030.93,2564,2187.7333,1411.1265,1.3602,100,97.6133,-1
3095.78,2465.14,2230.4222,1463.6606,0.8294,100,102.3433,-1
2932.61,2559.94,2186.4111,1698.0172,1.5102,100,95.4878,1
2988.72,2479.9,,909.7926,1.3204,100,104.2367,-1
3032.24,2502.87,2233.3667,1326.52,1.5334,100,100.3967,-1
2946.25,2432.84,2233.3667,1326.52,1.5334,100,,-1
3030.27,2430.12,2230.4222,1463.6606,0.8294,100,102.3433,-1
3058.88,2690.15,2248.9,1004.4692,0.7884,100,106.24,-1
2967.68,2600.47,2248.9,1004.4692,0.7884,100,106.24,-1
3016.11,2428.37,2248.9,1004.4692,0.7884,100,106.24,-1
2994.05,2548.21,2195.1222,1046.1468,1.3204,100,103.34,1
2928.84,2479.4,2196.2111,1605.7578,0.9959,100,97.9156,1
2920.07,2507.4,2195.1222,1046.1468,1.3204,100,103.34,-1
3051.44,2529.27,2184.4333,877.6266,1.4668,100,107.8711,-1
2963.97,2629.48,2224.6222,947.7739,1.2924,100,104.8489,1
2988.31,2546.26,2224.6222,947.7739,1.2924,100,104.8489,-1
3028.02,2560.87,2270.2556,1258.4558,1.395,100,104.8078,-1
3032.73,2517.79,2270.2556,1258.4558,1.395,100,104.8078,-1
3040.34,2501.16,2207.3889,962.5317,1.2043,100,104.0311,-1
2988.3,2519.05,2208.8556,1157.7224,1.5509,100,107.8022,-1
2987.32,2528.81,,,,,,-1
,2481.85,2207.3889,962.5317,1.2043,100,104.0311,-1
3002.27,2497.45,2207.3889,962.5317,1.2043,100,104.0311,-1
2884.74,2514.54,2160.3667,899.9488,1.4022,100,105.4978,1
